estado_civil;estado_credito;antiguedad_empleado;edad;pct_ingreso;ingresos;antiguedad_cliente;limite_credito_tc;gastos_ult_12m;operaciones_ult_12m;importe_solicitado;duracion_credito;situacion_vivienda;objetivo_credito;falta_pago;estado_cliente;genero;nivel_educativo;personas_a_cargo;completitud_fila;estado_civil_ok;estado_cliente_ok;genero_ok;nivel_educativo_ok;nivel_tarjeta_ok
C;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;3k_a_5k;mayor_10k;mayor_100;11000;3;HIPOTECA;INVERSIONES;N;ACTIVO;F;SECUNDARIO_COMPLETO;3.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;3k_a_5k;menor_1k;15_a_30;1500;2;ALQUILER;MEJORAS_HOGAR;Y;PASIVO;M;DESCONOCIDO;0.0;0.0;True;True;True;True;True
D;C;5_a_10;menor_25;20_a_40;20k_a_50k;2y_a_4y;5k_a_10k;1k_a_4k;15_a_30;10000;2;OTROS;EDUCACIÓN;Y;PASIVO;M;POSGRADO_COMPLETO;3.0;0.0;True;True;True;True;True
S;C;menor_10;25_a_30;20_a_40;20k_a_50k;menor_2y;menor_3k;1k_a_4k;75_a_100;6000;4;ALQUILER;INVERSIONES;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
C;C;menor_10;25_a_30;20_a_40;50k_a_100k;2y_a_4y;3k_a_5k;4k_a_6k;50_a_75;10000;2;HIPOTECA;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
N;P;menor_10;25_a_30;20_a_40;50k_a_100k;2y_a_4y;mayor_10k;1k_a_4k;15_a_30;22000;2;ALQUILER;SALUD;N;ACTIVO;M;DESCONOCIDO;4.0;0.0;True;True;True;True;True
C;P;menor_10;menor_25;40_a_60;20k_a_50k;menor_2y;menor_3k;1k_a_4k;30_a_50;18500;4;ALQUILER;SALUD;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;0.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;5k_a_10k;1k_a_4k;50_a_75;1500;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;SECUNDARIO_COMPLETO;2.0;0.0;True;True;True;True;True
S;C;menor_10;25_a_30;20_a_40;20k_a_50k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;12375;4;HIPOTECA;MEJORAS_HOGAR;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0;0.0;True;True;True;True;True
S;C;5_a_10;menor_25;hasta_20;50k_a_100k;2y_a_4y;mayor_10k;mayor_10k;mayor_100;8075;3;ALQUILER;PERSONAL;N;ACTIVO;M;SECUNDARIO_COMPLETO;1.0;0.0;True;True;True;True;True
N;C;menor_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;menor_3k;1k_a_4k;30_a_50;3000;3;ALQUILER;PERSONAL;Y;ACTIVO;M;UNIVERSITARIO_COMPLETO;1.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;20_a_40;20k_a_50k;2y_a_4y;5k_a_10k;1k_a_4k;30_a_50;6250;4;ALQUILER;SALUD;Y;PASIVO;F;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;30_a_50;3200;4;ALQUILER;PERSONAL;N;ACTIVO;M;UNIVERSITARIO_COMPLETO;2.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;menor_3k;4k_a_6k;50_a_75;5500;4;ALQUILER;PERSONAL;N;ACTIVO;F;SECUNDARIO_COMPLETO;1.0;0.0;True;True;True;True;True
C;P;menor_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;50_a_75;3800;2;ALQUILER;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0;0.0;True;True;True;True;True
C;C;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;1k_a_4k;30_a_50;3900;3;ALQUILER;EDUCACIÓN;Y;PASIVO;M;DESCONOCIDO;4.0;0.0;True;True;True;True;True
S;P;menor_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;mayor_10k;mayor_10k;mayor_100;5000;2;ALQUILER;INVERSIONES;Y;ACTIVO;F;UNIVERSITARIO_COMPLETO;3.0;0.0;True;True;True;True;True
D;C;mayor_10;25_a_30;20_a_40;50k_a_100k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;11500;4;HIPOTECA;SALUD;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
S;P;5_a_10;menor_25;hasta_20;20k_a_50k;2y_a_4y;menor_3k;4k_a_6k;75_a_100;4400;3;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;POSGRADO_INCOMPLETO;3.0;0.0;True;True;True;True;True
S;C;menor_10;25_a_30;hasta_20;20k_a_50k;2y_a_4y;menor_3k;4k_a_6k;50_a_75;5000;2;ALQUILER;PERSONAL;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;4.0;0.0;True;True;True;True;True
S;C;5_a_10;menor_25;20_a_40;50k_a_100k;2y_a_4y;mayor_10k;1k_a_4k;50_a_75;12000;2;ALQUILER;EDUCACIÓN;N;ACTIVO;F;UNIVERSITARIO_INCOMPLETO;3.0;0.0;True;True;True;True;True
C;P;menor_10;25_a_30;20_a_40;50k_a_100k;2y_a_4y;3k_a_5k;1k_a_4k;30_a_50;19000;4;ALQUILER;MEJORAS_HOGAR;N;ACTIVO;M;UNIVERSITARIO_INCOMPLETO;2.0;0.0;True;True;True;True;True
S;C;menor_10;menor_25;hasta_20;50k_a_100k;mayor_4y;menor_3k;4k_a_6k;50_a_75;4000;4;HIPOTECA;PAGO_DEUDAS;N;ACTIVO;F;UNIVERSITARIO_COMPLETO;0.0;0.0;True;True;True;True;True
